brand, product_name, current_price, sizes_available
Nike,Air VaporMax Plus,€215.00,Sizes in stock: 7 |  8 |  9 |  10 |  11
Nike,React Element 55,€130.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
adidas Originals,U_Path Run,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,U_Path Run,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Nike,React Element 55,€130.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
adidas Originals,U_Path Run,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,U_Path Run,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,Swift Run,€90.00,Sizes in stock: 8 |  9 |  10 |  11
adidas Originals,Swift Run,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,U_Path Run,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
New Balance,997H Trainer,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Vans,Old Skool,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11
New Balance,997H Trainer,€100.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
New Balance,997H Trainer,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Nike,Air Vapormax Flyknit 2,€210.00,Sizes in stock: 6.5 |  8 |  8.5 |  9 |  9.5 |  10 |  11 |  11.5 |  12
New Balance,997H Trainer,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
New Balance,997H Trainer,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
New Balance,997H Trainer,€100.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Vans,Ward,€70.00,Sizes in stock: 7 |  10 |  12
Nike,Air Max 270,€150.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Vans,Ward,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
Nike,Zoom 2K,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
adidas Originals,Swift Run,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Nike,Air Max 270,€150.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Vans,Ward,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11
Nike,Air VaporMax Utility,€210.00,Sizes in stock: 6 |  6.5 |  8.5 |  9.5 |  10 |  10.5
Nike,Air Max 97,€180.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Nike,Zoom 2K,€90.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Nike,Air Max 270,€150.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Nike,Air Vapormax Flyknit 2,€210.00,Sizes in stock: 7.5 |  8.5
Nike,Air Vapormax Utility,€210.00,Sizes in stock: 6 |  7 |  7.5 |  8 |  8.5
Nike,Air Vapormax Plus,€215.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Nike,React Element 55,€130.00,Sizes in stock: 7 |  9.5 |  10
Nike,Zoom 2K,€90.00,Sizes in stock: 7
Nike,Air Max 97 OG,€180.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Nike,Air Vapormax Flyknit 2,€210.00,Sizes in stock: 7.5 |  8 |  8.5 |  9 |  9.5 |  10 |  10.5 |  11
Nike,Air Vapormax Flyknit 2,€210.00,Sizes in stock: 6 |  6.5 |  7 |  7.5 |  8 |  8.5 |  9 |  10 |  11 |  11.5 |  12
Nike,Air Max 97 OG,€180.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Nike,React Element 55,€130.00,Sizes in stock: 6 |  11
Nike,Air Max 270,€150.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Nike,Air Max 270,€150.00,Sizes in stock: 6 |  6.5 |  7 |  7.5 |  8 |  8.5 |  9 |  9.5 |  10 |  10.5 |  11 |  12
Nike,React Element 55,€130.00,Sizes in stock: 6 |  12
Nike,Air Vapormax Flyknit 2,€210.00,Sizes in stock: 6 |  9.5 |  10 |  10.5 |  11 |  12
Nike,Air Max 270,€150.00,Sizes in stock: 6 |  8 |  9 |  10 |  11 |  12
Nike,Air Max 270,€150.00,Sizes in stock: 8
Nike,Air Max 97,€180.00,Sizes in stock: 6 |  7 |  8 |  9
Nike,Air Max 97,€180.00,Sizes in stock: 7 |  11
Nike,Air Max 270,€150.00,Sizes in stock: 9 |  12
Nike,Air Max 97 OG,€180.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
Nike,Air Vapormax Plus,€215.00,Sizes in stock: 8 |  9
Nike,Air Force 1,€100.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,Adi-Ease,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
Vans,Ward,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
Vans,Ward,€70.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,X_PLR,€100.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
Nike,Presto Fly World,€100.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
adidas Originals,Gazelle,€95.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
New Balance,247 V1 Trainer,€80.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11
Converse,Chuck Taylor Leather Mono,€75.00,Sizes in stock: 6 |  8 |  9 |  10 |  11
Nike,Air Max 90 Essential,€125.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,Continental 80,€100.00,Sizes in stock: 7 |  10
adidas Originals,Adi-Ease,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
adidas Originals,X_PLR,€100.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,X_PLR,€90.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
Nike,Air Max 90 Essential,€125.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12
New Balance,247 V1 Trainer,€80.00,Sizes in stock: 7 |  8 |  9 |  10 |  11
adidas Originals,Stan Smith,€95.00,Sizes in stock: 4 |  5.5 |  7 |  8 |  9 |  10 |  11 |  12
adidas Originals,Adi-Ease,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
Nike,Air Max 95 Essential,€160.00,Sizes in stock: 6 |  7 |  8 |  9 |  10 |  11 |  12 |  13
Nike,Air Max Axis,€110.00,Sizes in stock: 8 |  9 |  10
New Balance,373 Trainer,€80.00,Sizes in stock: 6 |  7 |  8 |  10
Vans,Ward,€70.00,Sizes in stock: 7 |  8 |  9 |  10 |  11 |  12
